Cr	Zn	Cd	Pb	Co	Ni	Mn	Cu	Sr	Ba	Mg	Ti	Producent  											
33	302	4	3	7	19	306	17	744	205	7328	983	A     
27	291	4	3	9	18	307	15	762	181	8000	1035	A     
35	306	4	3	7	20	316	16	714	167	7186	958	A     
22	255	4	10	7	19	317	19	733	169	7416	969	A     
27	275	4	3	7	20	301	21	743	194	8310	990	A    
29	283	4	3	8	20	314	20	758	203	8779	998	A     
28	268	4	3	7	22	313	17	765	206	7558	1033	A     
32	281	4	11	7	23	310	14	742	185	7827	961	A     
37	284	5	27	8	22	304	14	735	192	8073	997	A     
37	263	4	3	7	21	315	15	754	204	7637	1043	A     
22	136	3	2	7	19	166	10	599	125	9881	1193	B     
29	112	3	3	7	19	158	8	640	117	10480	1206	B     
29	109	3	3	7	19	156	9	602	128	9900	1162	B     
25	108	3	3	7	26	151	11	611	152	10550	1173	B     
31	123	3	3	7	30	161	13	619	137	11087	1193	B    
37	125	2	3	6	25	159	11	608	135	11091	1169	B     
36	118	3	3	8	21	162	10	612	131	11115	1187	B     
34	1688	10	270	6	26	528	45	1369	159	4733	1057	C     
38	1468	9	238	6	26	606	45	1393	148	5009	1015	C     
32	1512	10	268	6	26	627	46	1369	157	5086	1128	C     
29	1728	11	267	8	29	614	47	1390	162	5263	1152	C     
23	1501	9	243	8	25	530	42	1448	141	5220	1076	C     
27	2068	10	309	8	29	525	59	1461	163	5283	1144	C     
29	1668	10	297	7	27	511	51	1506	160	5097	1366	C     
44	1537	5	305	8	22	500	42	1486	143	4962	1279	C     
43	1510	7	290	8	27	513	42	1440	161	4970	1663	C   
